Date,Age,Cases,Hospitalized,Deaths
6/21/2020,80+,14904,3423,4894
6/21/2020,Unknown,279,1,
6/22/2020,0-19,5654,90,0
6/22/2020,20-29,14699,272,15
6/22/2020,30-39,16102,518,31
6/22/2020,40-49,15308,795,77
6/22/2020,50-59,17037,1458,286
6/22/2020,60-69,13856,2142,825
6/22/2020,70-79,9359,2391,1739
6/22/2020,80+,14923,3427,4901
6/22/2020,Unknown,272,1,
6/23/2020,0-19,5676,92,0
6/23/2020,20-29,14751,276,15
6/23/2020,30-39,16124,520,31
6/23/2020,40-49,15335,798,77
6/23/2020,50-59,17069,1465,286
6/23/2020,60-69,13881,2156,825
6/23/2020,70-79,9382,2403,1744
6/23/2020,80+,14950,3446,4912
6/23/2020,Unknown,271,1,
6/24/2020,0-19,5699,92,0
6/24/2020,20-29,14798,276,15
6/24/2020,30-39,16150,524,32
6/24/2020,40-49,15360,803,80
6/24/2020,50-59,17098,1471,285
6/24/2020,60-69,13891,2165,827
6/24/2020,70-79,9387,2421,1754
6/24/2020,80+,14956,3466,4945
6/24/2020,Unknown,272,1,
6/25/2020,0-19,5715,93,0
6/25/2020,20-29,14850,278,15
6/25/2020,30-39,16191,527,32
6/25/2020,40-49,15399,805,80
6/25/2020,50-59,17125,1473,284
6/25/2020,60-69,13910,2169,831
6/25/2020,70-79,9404,2423,1754
6/25/2020,80+,14971,3483,4967
6/25/2020,Unknown,272,1,
6/26/2020,0-19,5726,94,0
6/26/2020,20-29,14903,281,15
6/26/2020,30-39,16238,527,32
6/26/2020,40-49,15420,807,82
6/26/2020,50-59,17150,1478,284
6/26/2020,60-69,13938,2174,837
6/26/2020,70-79,9424,2438,1767
6/26/2020,80+,14999,3491,4996
6/26/2020,Unknown,272,1,
6/27/2020,0-19,5754,94,0
6/27/2020,20-29,14980,281,15
6/27/2020,30-39,16323,528,32
6/27/2020,40-49,15468,808,82
6/27/2020,50-59,17197,1479,286
6/27/2020,60-69,13982,2176,839
6/27/2020,70-79,9435,2437,1769
6/27/2020,80+,15030,3506,5018
6/27/2020,Unknown,274,1,
6/28/2020,0-19,5766,94,0
6/28/2020,20-29,15042,281,15
6/28/2020,30-39,16358,530,32
6/28/2020,40-49,15501,809,83
6/28/2020,50-59,17218,1482,287
6/28/2020,60-69,14016,2177,840
6/28/2020,70-79,9450,2437,1771
6/28/2020,80+,15045,3508,5032
6/28/2020,Unknown,271,1,
6/29/2020,0-19,5772,93,0
6/29/2020,20-29,15076,283,15
6/29/2020,30-39,16374,530,33
6/29/2020,40-49,15513,808,82
6/29/2020,50-59,17224,1483,288
6/29/2020,60-69,14025,2188,847
6/29/2020,70-79,9458,2445,1780
6/29/2020,80+,15054,3514,5050
6/29/2020,Unknown,272,1,
6/30/2020,0-19,5784,93,0
6/30/2020,20-29,15111,286,15
6/30/2020,30-39,16401,529,32
6/30/2020,40-49,15534,811,82
6/30/2020,50-59,17245,1485,287
6/30/2020,60-69,14039,2188,840
6/30/2020,70-79,9454,2442,1769
6/30/2020,80+,15041,3502,5029
6/30/2020,Unknown,273,1,
